,Date,Close,High,Low,Open,Volume
0,1986-03-13,0.0595976151525974,0.0622586710514088,0.0542767273770207,0.0542767273770207,1031788800
1,1986-03-14,0.0617259554564952,0.0627907447672204,0.0595976008567974,0.0595976008567974,308160000
2,1986-03-17,0.0627907440066337,0.063322832650113,0.0617259547088064,0.0617259547088064,133171200
3,1986-03-18,0.061193861067295,0.0633228274781967,0.0606617724672743,0.062790738878176,67766400
4,1986-03-19,0.0601296983659267,0.0617259645508859,0.059597609637607,0.0611938758225661,47894400
5,1986-03-20,0.0585334450006485,0.0601297115352133,0.0580013561557935,0.0601297115352133,58435200
6,1986-03-21,0.0569371655583381,0.0595976091794862,0.0558729881098789,0.0585334317310269,59990400
7,1986-03-24,0.0553408935666084,0.0569371595714514,0.0548088048983274,0.0569371595714514,65289600
8,1986-03-25,0.0564050748944282,0.0564050748944282,0.0548088087766324,0.0553408974825644,32083200
9,1986-03-26,0.0580013431608676,0.0585334318865107,0.0558729882582956,0.0564050769839386,22752000
10,1986-03-27,0.0590655244886875,0.0590655244886875,0.0580013469675583,0.0580013469675583,16848000
11,1986-03-31,0.0585334450006485,0.0590655338455034,0.0574692673109385,0.0590655338455034,12873600
12,1986-04-01,0.0580013431608676,0.0585334318865107,0.0580013431608676,0.0585334318865107,11088000
13,1986-04-02,0.0585334450006485,0.0595976226903584,0.0580013561557935,0.0580013561557935,27014400
14,1986-04-03,0.0590655244886875,0.0606617907703812,0.0590655244886875,0.0590655244886875,23040000
15,1986-04-04,0.0590655244886875,0.059597613249252,0.0590655244886875,0.0590655244886875,26582400
16,1986-04-07,0.0580013431608676,0.0595976093377967,0.0569371657095816,0.0590655206121537,16560000
17,1986-04-08,0.0585334450006485,0.0595976226903584,0.0580013561557935,0.0580013561557935,10252800
18,1986-04-09,0.0595976151525974,0.0601297039301551,0.058533437597482,0.058533437597482,12153600
19,1986-04-10,0.0601296983659267,0.0606617870942464,0.0585334321809675,0.059597609637607,13881600
20,1986-04-11,0.061193861067295,0.0622586502781553,0.0606617724672743,0.0606617724672743,17222400
21,1986-04-14,0.0617259554564952,0.0622586561172959,0.0611938668065708,0.0611938668065708,12153600
22,1986-04-15,0.0617259554564952,0.0617259554564952,0.0595976008567974,0.0617259554564952,9302400
23,1986-04-16,0.0638549104332923,0.0643869989862752,0.0611938556576135,0.0617259442105963,31910400
24,1986-04-17,0.0643870159983635,0.0643870159983635,0.0638549273047942,0.0638549273047942,22003200
25,1986-04-18,0.0622586645185947,0.0643870194054967,0.0617259637859104,0.0643870194054967,21628800
26,1986-04-21,0.0622586645185947,0.0627907532403202,0.0606617863424594,0.0622586645185947,22924800
27,1986-04-22,0.061193861067295,0.0622586502781553,0.061193861067295,0.0622586502781553,15552000
28,1986-04-23,0.0614599175751209,0.061725964221484,0.0606617867705236,0.0611938754960038,15609600
29,1986-04-24,0.0675795674324035,0.0686437451230287,0.0611938892775517,0.0614599314165845,62352000
30,1986-04-25,0.07183688133955,0.074763371911191,0.0681116478710473,0.0681116478710473,85795200
31,1986-04-28,0.0723689496517181,0.0729010382808718,0.0713041603825584,0.0718368610225644,28886400
32,1986-04-29,0.0702400058507919,0.072368973067098,0.069707917049478,0.072368973067098,30326400
33,1986-04-30,0.0686437487602233,0.0707721042542478,0.067047482139705,0.0702400153807417,30902400
34,1986-05-01,0.0675795674324035,0.0686437451230287,0.0665153897417784,0.0686437451230287,54345600
35,1986-05-02,0.0675795674324035,0.0686437451230287,0.067047478587091,0.0675795674324035,20246400
36,1986-05-05,0.0670474767684936,0.0675795655993738,0.0670474767684936,0.0675795655993738,3254400
37,1986-05-06,0.0675795674324035,0.0686437451230287,0.0675795674324035,0.0675795674324035,9734400
38,1986-05-07,0.0675795674324035,0.0681116562777161,0.0665153897417784,0.0675795674324035,5155200
39,1986-05-08,0.068111665546894,0.068111665546894,0.0670474877114471,0.0675795766291706,3542400
